name	x	y	z	size	material
AR1	16.5564	-0.47876	-22.945	2	medical-grade stainless steel
AR2	19.5214	-0.429683	-23.5595	2	medical-grade stainless steel
AR3	23.7718	0.385147	-24.2523	2	medical-grade stainless steel
AR4	27.0712	0.845285	-24.1596	2	medical-grade stainless steel
AR5	30.8683	1.18413	-24.7845	2	medical-grade stainless steel
AR6	33.7939	1.58566	-24.7011	2	medical-grade stainless steel
AR7	38.4251	2.12901	-25.3198	2	medical-grade stainless steel
AR8	41.3489	2.61568	-25.253	2	medical-grade stainless steel
AR9	45.5597	3.22183	-25.9073	2	medical-grade stainless steel
AR10	48.521	3.58441	-25.8142	2	medical-grade stainless steel
AR11	52.3215	3.7598	-26.4071	2	medical-grade stainless steel
AR12	55.6624	4.34702	-26.3369	2	medical-grade stainless steel
AR13	59.8972	4.86165	-26.972	2	medical-grade stainless steel
AR14	64.0583	5.10835	-27.5588	2	medical-grade stainless steel
B1	-26.5411	-25.7294	-19.6314	2	medical-grade stainless steel
B2	-30.6938	-25.9102	-19.8259	2	medical-grade stainless steel
B3	-34.1165	-25.7792	-19.2719	2	medical-grade stainless steel
B4	-37.471	-25.7131	-19.4704	2	medical-grade stainless steel
B5	-41.2732	-25.8069	-18.8936	2	medical-grade stainless steel
B6	-44.6276	-25.7406	-19.0921	2	medical-grade stainless steel
B7	-47.9821	-25.6743	-19.2906	2	medical-grade stainless steel
B8	-52.1689	-25.7478	-18.739	2	medical-grade stainless steel
B9	-55.9181	-25.9036	-18.9161	2	medical-grade stainless steel
B10	-59.7783	-25.8404	-18.3731	2	medical-grade stainless steel
B11	-62.714	-25.7518	-18.5528	2	medical-grade stainless steel
B12	-66.9009	-25.8253	-18.0012	2	medical-grade stainless steel
BR1	30.9192	-33.9476	-21.7681	2	medical-grade stainless steel
BR2	34.2307	-35.0243	-19.8368	2	medical-grade stainless steel
BR3	36.7049	-36.1456	-17.9431	2	medical-grade stainless steel
BR4	39.5653	-36.6613	-15.3878	2	medical-grade stainless steel
BR5	42.8749	-38.2139	-13.3534	2	medical-grade stainless steel
BR6	45.3389	-38.8452	-11.5559	2	medical-grade stainless steel
BR7	49.0349	-39.7921	-8.85983	2	medical-grade stainless steel
BR8	51.509	-40.9134	-6.96619	2	medical-grade stainless steel
BR9	53.973	-41.5447	-5.16877	2	medical-grade stainless steel
BR10	56.437	-42.176	-3.37135	2	medical-grade stainless steel
BR11	60.1431	-43.613	-0.578991	2	medical-grade stainless steel
